event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Unnamed: 8,Unnamed: 9,Unnamed: 10,city,total_quantity_sold,product_name,promo_discount,revenue_before_promo,revenue_after_promo,category,ir%,inc_units,isu_percent,inc_revenue,ir_percent_calc,rev_per_discount_unit,rev_per_discount_amount,isu%,promo_category,incremental_revenue,margin_efficiency,incremental_margin%,before_rev,before_qty,after_qty,ir_row
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,,,,coimbatore,86,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,6460,4940.0,Personal Care,-23.52941176470588,18.0,-18.06615776081425,-1520.0,-38.54961832061068,-16.0,-8.421052631578947,52.94117647058824,Other,-1520.0,-30.76923076923077,-23.52941176470588,6460.0,34.0,52.0,-23.52941176470588
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,,,,bengaluru,715,Atliq_Suflower_Oil (1L),39.0,61308,37674.0,Grocery & Staples,-38.54961832061068,-71.0,-18.06615776081425,-23634.0,-38.54961832061068,-606.0,-388.46153846153845,-18.06615776081425,Other,-23634.0,-62.732919254658384,-38.54961832061068,61308.0,393.0,322.0,-38.54961832061068
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,,,,vijayawada,107,Atliq_Curtains,150.0,6600,12750.0,Home Care,93.18181818181817,63.0,-18.06615776081425,6150.0,-38.54961832061068,41.0,13.666666666666666,286.3636363636364,Other,6150.0,48.23529411764706,93.18181818181817,6600.0,22.0,85.0,93.18181818181817
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,,,,coimbatore,1329,Atliq_Home_Essential_8_Product_Combo,2500.0,987000,500000.0,Combo1,-49.34143870314083,671.0,-18.06615776081425,-487000.0,-38.54961832061068,-194.8,-6.493333333333333,203.95136778115503,Other,-487000.0,-97.39999999999999,-49.34143870314083,987000.0,329.0,1000.0,-49.34143870314083
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,,,,bengaluru,201,Atliq_Scrub_Sponge_For_Dishwash,13.75,5940,3836.25,Home Care,-35.41666666666667,-15.0,-18.06615776081425,-2103.75,-38.54961832061068,-153.0,-278.1818181818182,-13.88888888888889,Other,-2103.75,-54.83870967741935,-35.41666666666667,5940.0,108.0,93.0,-35.41666666666667
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,,,,bengaluru,207,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,17290,11020.0,Personal Care,-36.26373626373626,25.0,-18.06615776081425,-6270.0,-38.54961832061068,-66.0,-34.73684210526316,27.472527472527474,Other,-6270.0,-56.896551724137936,-36.26373626373626,17290.0,91.0,116.0,-36.26373626373626
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,,,,visakhapatnam,57,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1550,975.0,Personal Care,-37.096774193548384,-5.0,-18.06615776081425,-575.0,-38.54961832061068,-46.0,-92.0,-16.129032258064516,Other,-575.0,-58.97435897435898,-37.096774193548384,1550.0,31.0,26.0,-37.096774193548384
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,,,,hyderabad,318,Atliq_High_Glo_15W_LED_Bulb,175.0,25550,42875.0,Home Appliances,67.8082191780822,172.0,-18.06615776081425,17325.0,-38.54961832061068,99.0,28.285714285714285,235.6164383561644,Other,17325.0,40.40816326530612,67.8082191780822,25550.0,73.0,245.0,67.8082191780822
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,,,,coimbatore,109,Atliq_Double_Bedsheet_set,595.0,35700,47005.0,Home Care,31.666666666666664,49.0,-18.06615776081425,11305.0,-38.54961832061068,19.0,1.596638655462185,163.33333333333334,Other,11305.0,24.050632911392405,31.666666666666664,35700.0,30.0,79.0,31.666666666666664
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,,,,madurai,1583,Atliq_Suflower_Oil (1L),100.0,63600,126500.0,Grocery & Staples,98.89937106918238,947.0,-18.06615776081425,62900.0,-38.54961832061068,629.0,314.5,297.7987421383648,Other,62900.0,49.723320158102766,98.89937106918238,63600.0,318.0,1265.0,98.89937106918238
