event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Unnamed: 8,Unnamed: 9,Unnamed: 10,city,total_quantity_sold,product_name,promo_discount,revenue_before_promo,revenue_after_promo
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,,,,coimbatore,86,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,6460,4940.0
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,,,,bengaluru,715,Atliq_Suflower_Oil (1L),39.0,61308,37674.0
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,,,,vijayawada,107,Atliq_Curtains,150.0,6600,12750.0
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,,,,coimbatore,1329,Atliq_Home_Essential_8_Product_Combo,2500.0,987000,500000.0
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,,,,bengaluru,201,Atliq_Scrub_Sponge_For_Dishwash,13.75,5940,3836.25
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,,,,bengaluru,207,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,17290,11020.0
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,,,,visakhapatnam,57,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,1550,975.0
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,,,,hyderabad,318,Atliq_High_Glo_15W_LED_Bulb,175.0,25550,42875.0
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,,,,coimbatore,109,Atliq_Double_Bedsheet_set,595.0,35700,47005.0
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,,,,madurai,1583,Atliq_Suflower_Oil (1L),100.0,63600,126500.0
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,,,,mysuru,148,Atliq_Fusion_Container_Set_of_3,103.75,32370,21787.5
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,,,,hyderabad,428,Atliq_Home_Essential_8_Product_Combo,2500.0,378000,151000.0
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,,,,chennai,361,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,9548,6417.0
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,,,,bengaluru,613,Atliq_Farm_Chakki_Atta (1KG),72.5,99470,58725.0
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,,,,visakhapatnam,828,Atliq_Sonamasuri_Rice (10KG),283.8,299280,276576.0
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,,,,chennai,210,Atliq_Curtains,150.0,12900,25050.0
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,,,,chennai,72,Atliq_Fusion_Container_Set_of_3,103.75,16185,10271.25
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,,,,trivandrum,400,Atliq_Masoor_Dal (1KG),56.760000000000005,28208,27196.64
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,,,,visakhapatnam,38,Atliq_Fusion_Container_Set_of_3,103.75,9130,4980.0
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,,,,hyderabad,268,Atliq_Curtains,150.0,16500,31950.0
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,,,,bengaluru,210,Atliq_waterproof_Immersion_Rod,510.0,42840,85680.0
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,,,,chennai,422,Atliq_High_Glo_15W_LED_Bulb,175.0,29400,59150.0
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,,,,bengaluru,154,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,12540,8360.0
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,,,,mysuru,495,Atliq_Masoor_Dal (1KG),56.760000000000005,35088,33534.84
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,,,,trivandrum,93,Atliq_Double_Bedsheet_set,595.0,22610,44030.0
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,,,,madurai,429,Atliq_Suflower_Oil (1L),39.0,35412,23634.0
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,,,,coimbatore,313,Atliq_Home_Essential_8_Product_Combo,2500.0,255000,114000.0
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,,,,mysuru,241,Atliq_waterproof_Immersion_Rod,510.0,60180,92820.0
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,,,,coimbatore,240,Atliq_High_Glo_15W_LED_Bulb,175.0,17500,33250.0
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,,,,madurai,159,Atliq_Doodh_Kesar_Body_Lotion (200ML),95.0,13300,8455.0
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,,,,chennai,735,Atliq_Masoor_Dal (1KG),56.760000000000005,57276,46326.479999999996
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,,,,mysuru,91,Atliq_Body_Milk_Nourishing_Lotion (120ML),22.5,4680,2632.5
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,,,,bengaluru,58,Atliq_Scrub_Sponge_For_Dishwash,13.75,1870,990.0
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,,,,madurai,169,Atliq_Double_Bedsheet_set,595.0,39270,80920.0
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,,,,vijayawada,136,Atliq_Double_Bedsheet_set,595.0,32130,64855.0
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,,,,hyderabad,843,Atliq_Masoor_Dal (1KG),56.760000000000005,53148,61538.159999999996
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,,,,bengaluru,1698,Atliq_Suflower_Oil (1L),100.0,69600,135000.0
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,,,,hyderabad,507,Atliq_Farm_Chakki_Atta (1KG),72.5,83230,47850.0
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,,,,mysuru,1825,Atliq_Suflower_Oil (1L),100.0,68000,148500.0
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,,,,vijayawada,106,Atliq_Double_Bedsheet_set,595.0,28560,48790.0
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,,,,bengaluru,595,Atliq_waterproof_Immersion_Rod,510.0,123420,241740.0
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,,,,visakhapatnam,347,Atliq_Home_Essential_8_Product_Combo,2500.0,327000,119000.0
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,,,,coimbatore,161,Atliq_Curtains,150.0,9900,19200.0
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,,,,mysuru,289,Atliq_High_Glo_15W_LED_Bulb,175.0,28350,36400.0
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,,,,vijayawada,333,Atliq_Suflower_Oil (1L),39.0,28548,17550.0
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,,,,coimbatore,147,Atliq_waterproof_Immersion_Rod,510.0,36720,56610.0
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,,,,hyderabad,257,Atliq_Lime_Cool_Bathing_Bar (125GM),31.0,7564,4185.0
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,,,,vijayawada,30,Atliq_Fusion_Container_Set_of_3,103.75,6640,4357.5
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,,,,chennai,652,Atliq_Masoor_Dal (1KG),56.760000000000005,46956,43675.96
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,,,,coimbatore,153,Atliq_Scrub_Sponge_For_Dishwash,13.75,4290,3093.75
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,,,,visakhapatnam,731,Atliq_Sonamasuri_Rice (10KG),283.8,253700,251223.2
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,,,,mysuru,401,Atliq_High_Glo_15W_LED_Bulb,175.0,39900,50225.0
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,,,,chennai,290,Atliq_Curtains,150.0,17400,34800.0
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,,,,hyderabad,73,Atliq_Cream_Beauty_Bathing_Soap (125GM),12.5,2100,1162.5
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,,,,vijayawada,1270,Atliq_Farm_Chakki_Atta (1KG),185.0,93610,188145.0
